"ENTRY","MEASURE","STATUS","COUNT","SCORE","ERROR","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PTME","WEIGHT","OBSMATCH","EXPMATCH","DISCRIM","LOWER","UPPER","PVALUE","PTME.E","RMSR","GROUPING","MODEL","RECODE","NAME"
1,-6.59,-1,35,35,1.85,1,0,1,0,-0.03,0,1,100,100,1,0,1,1,0,0,1,"R",".","1= 1-4"
2,-6.59,-1,35,35,1.85,1,0,1,0,-0.03,0,1,100,100,1,0,1,1,0,0,1,"R",".","2= 2-3"
3,-6.59,-1,35,35,1.85,1,0,1,0,-0.03,0,1,100,100,1,0,1,1,0,0,1,"R",".","3= 1-2-4"
4,-4.4,1,35,32,0.81,0.8997,-0.0291,0.3452,-0.1597,-0.03,0.5539,1,94.118,94.01,1.0895,0,1,0.9143,0.5282,0.2002,1,"R",".","4= 1-3-4"
5,-3.83,1,35,31,0.7,1.0415,0.241,0.5193,0.0605,-0.02,0.5547,1,88.235,91.744,1.0105,0.0469,1,0.8857,0.5548,0.2484,1,"R",".","5= 2-1-4"
6,-3.38,1,35,30,0.64,1.1678,0.5512,0.9575,0.381,-0.02,0.5318,1,91.176,90.042,0.8693,0.0862,1,0.8571,0.5766,0.2886,1,"R",".","6= 3-4-1"
7,-3.83,1,35,31,0.7,1.3325,0.8613,2.2142,1.1122,-0.02,0.4031,1,94.118,91.744,0.5415,0,0.9765,0.8857,0.5548,0.281,1,"R",".","7= 1-4-3-2"
8,-2.35,1,35,27,0.54,0.5926,-1.3494,0.4316,-0.4096,-0.01,0.7215,1,94.118,86.471,1.3558,0,1,0.7714,0.6136,0.244,1,"R",".","8= 1-4-2-3"
9,-3.38,1,35,30,0.64,0.6203,-1.0394,0.2117,-0.5598,-0.02,0.6828,1,91.176,90.042,1.3414,0,1,0.8571,0.5766,0.2103,1,"R",".","9= 1-3-2-4"
10,-1.57,1,35,24,0.48,1.0647,0.3211,0.8292,0.0308,0,0.612,1,79.412,82.985,0.9662,0.0713,1,0.6857,0.6214,0.3654,1,"R",".","10=2-4-3-1"
11,0.79,1,35,12,0.45,1.0737,0.4011,0.7894,-0.1192,0.01,0.5527,1,76.471,79.111,0.9642,0,1,0.3429,0.5619,0.394,1,"R",".","11=1-3-1-2-4"
12,2.24,1,35,6,0.55,1.1611,0.5812,1.0563,0.4311,0.02,0.4156,1,85.294,86.708,0.8281,0.0101,1,0.1714,0.4764,0.3359,1,"R",".","12=1-3-2-4-3"
13,1.95,1,35,7,0.52,0.6955,-1.0393,0.3787,-0.4396,0.02,0.5995,1,88.235,84.594,1.3484,0,1,0.2,0.4972,0.2733,1,"R",".","13=1-4-3-2-4"
14,3.37,1,35,3,0.7,1.5611,1.2316,1.4937,0.7615,0.03,0.2177,1,85.294,92.016,0.6168,0.0226,1,0.0857,0.3777,0.3066,1,"R",".","14=1-4-2-3-4-1"
15,4.8,1,35,1,1.07,0.7434,-0.0893,0.1128,-0.6299,0.04,0.3167,1,97.059,96.96,1.1835,0,0,0.0286,0.2362,0.1383,1,"R",".","15=1-3-2-4-1-3"
16,4.8,1,35,1,1.07,0.7434,-0.0893,0.1128,-0.6299,0.04,0.3167,1,97.059,96.96,1.1835,0,0,0.0286,0.2362,0.1383,1,"R",".","16=1-4-2-3-1-4"
17,4.8,1,35,1,1.07,0.7434,-0.0893,0.1128,-0.6299,0.04,0.3167,1,97.059,96.96,1.1835,0,0,0.0286,0.2362,0.1383,1,"R",".","17=1-4-3-1-2-4"
18,6.13,0,35,0,1.84,1,0,1,0,0.04,0,1,100,100,1,0,1,0,0,0,1,"R",".","18=4-1-3-4-2-1-4"
