wafer	sensor_t1	sensor_t2	sensor_t3	sensor_t4	sensor_t5	sensor_t6	sensor_t7	sensor_t8	sensor_t9	sensor_t10	sensor_p1	sensor_p2	sensor_p3	sensor_p4	sensor_p5	sensor_p6	sensor_p7	sensor_p8	sensor_p9	sensor_p10	GB
1	1026	1026	1024	1027	1024	1025	1027	1027	1027	1020	119	118	120	122	121	122	121	121	119	119	G
2	1024	1027	1023	1026	1025	1024	1026	1025	1024	1023	117	119	121	119	121	122	121	121	119	122	G
3	1026	1025	1023	1026	1024	1025	1027	1026	1023	1021	117	117	121	121	120	119	120	121	120	122	G
4	1023	1025	1026	1024	1027	1023	1024	1027	1027	1021	119	119	120	121	120	118	122	122	121	119	G
5	1025	1025	1027	1028	1027	1022	1027	1025	1023	1021	117	117	119	122	119	121	122	122	120	121	G
6	1024	1027	1024	1023	1027	1028	1023	1023	1025	1024	119	118	119	122	121	119	120	122	121	121	G
7	1022	1022	1024	1023	1025	1022	1027	1026	1027	1020	117	117	119	118	121	120	121	121	121	120	G
8	1025	1023	1025	1025	1026	1028	1023	1027	1026	1024	118	119	119	121	120	119	121	121	120	122	G
9	1025	1022	1025	1023	1026	1027	1027	1024	1025	1023	117	118	121	120	121	118	122	121	120	122	G
10	1023	1024	1024	1023	1026	1027	1023	1024	1026	1023	118	119	119	118	121	121	121	122	120	118	G
11	1026	1024	1024	1022	1024	1022	1027	1023	1026	1021	118	117	120	121	120	121	120	122	120	121	G
12	1022	1025	1025	1022	1025	1025	1023	1023	1023	1022	118	119	121	119	119	118	121	121	121	122	G
13	1026	1027	1023	1023	1026	1023	1027	1027	1025	1023	118	117	120	121	119	119	120	122	120	119	G
14	1025	1024	1024	1027	1024	1025	1026	1026	1027	1022	118	117	121	120	121	119	122	122	119	119	G
15	1024	1024	1025	1028	1026	1028	1027	1028	1023	1020	119	119	120	122	121	118	120	122	121	120	G
16	1025	1027	1024	1024	1024	1028	1025	1024	1024	1025	117	118	121	119	120	121	120	122	119	118	G
17	1025	1023	1024	1027	1024	1028	1027	1023	1024	1022	117	118	121	121	120	122	121	122	119	122	G
18	1026	1028	1024	1026	1025	1025	1024	1028	1025	1024	117	119	120	119	120	120	122	122	120	122	G
19	1026	1026	1027	1022	1024	1028	1024	1028	1025	1024	117	118	119	119	119	121	121	121	119	119	G
20	1025	1027	1025	1025	1024	1027	1024	1025	1024	1025	118	118	119	121	120	121	120	121	119	121	G
21	1026	1023	1024	1027	1024	1028	1024	1024	1027	1023	118	117	119	119	121	119	120	122	119	121	G
22	1023	1024	1025	1028	1027	1028	1024	1027	1026	1024	119	117	121	120	120	120	122	121	119	120	G
23	1022	1023	1023	1024	1027	1025	1025	1027	1023	1023	119	118	121	121	119	122	120	121	119	122	G
24	1026	1026	1027	1027	1025	1027	1024	1024	1025	1024	119	118	121	118	120	120	121	121	121	118	G
